tweetID,tweetURL,user,tweet,tweet_translated
1.67882695836319E+018,https://x.com/womenforchange5/status/1678826958363193362,womenforchange5,"Sikelelwa Mona, 18, was found dead at a neighbour's shack in Taiwan Site C, Khayelitsha, on 8 July 2023. It is alleged that Sikelelwa was served alcohol mixed with eye-gene drops before she was gang-raped by her two neighbours. https://t.co/DOTHwiNksO'","Sikelelwa Mona, 18, was found dead at a neighbour's shack in Taiwan Site C, Khayelitsha, on 8 July 2023. It is alleged that Sikelelwa was served alcohol mixed with eye-gene drops before she was gang-raped by her two neighbours. https://t.co/DOTHwiNksO'"
1.79617757238598E+018,https://x.com/Ultramunchie/status/1796177572385980795,Ultramunchie,"@LSBT_M @FormerGrillz Nope, Khayelitsha is the worst township in South Africa, followed by Soweto, Alexandra, Mdantsane (EC) and Diepsloot.'","@LSBT_M @FormerGrillz Nope, Khayelitsha is the worst township in South Africa, followed by Soweto, Alexandra, Mdantsane (EC) and Diepsloot.'"
1.8110010447232E+018,https://x.com/uglyprezident/status/1811001044723204250,uglyprezident,"I have grown more and more skeptical of political causes here in the states chasing Europe for innovation in any sector. When I first saw the film Urbanized, I was intrigued most by Chile, Colombia and particularly Khayelitsha in South Africa.'","I have grown more and more skeptical of political causes here in the states chasing Europe for innovation in any sector. When I first saw the film Urbanized, I was intrigued most by Chile, Colombia and particularly Khayelitsha in South Africa.'"
1.75371137543463E+018,https://x.com/twieterazzi/status/1753711375434625274,twieterazzi,@marcel__za Cape Town is easily the murder capital of South Africa and for you to talk about isolated means you are completely insulated to Khayelitsha and the flats.',@marcel__za Cape Town is easily the murder capital of South Africa and for you to talk about isolated means you are completely insulated to Khayelitsha and the flats.'
1.56137921805914E+018,https://x.com/tubhane/status/1561379218059137024,tubhane,@Eusebius The situation is worst off here in SITE C in Khayelitsha in the city of Cape Town. Things were much better when ANC was still in charge of the City....',@Eusebius The situation is worst off here in SITE C in Khayelitsha in the city of Cape Town. Things were much better when ANC was still in charge of the City....'
1.67867549403906E+018,https://x.com/TheCapeArgus/status/1678675494039060481,TheCapeArgus,"The family of a murdered 18-year-old girl from Taiwan, Site C in Khayelitsha, are distraught after her body was discovered a few houses away from their home. https://t.co/gTvMtevceE'","The family of a murdered 18-year-old girl from Taiwan, Site C in Khayelitsha, are distraught after her body was discovered a few houses away from their home. https://t.co/gTvMtevceE'"
1.52679833203899E+018,https://x.com/TaSiya_M/status/1526798332038987777,TaSiya_M,"@The_Greatestss @sa_crime In Cape Town Khayelitsha Site C taxi rank, gangsters went in there and took all their money ..These people might have weapons but they rely on ambush .Umphakathi can defeat these people we were to unite'","@The_Greatestss @sa_crime In Cape Town Khayelitsha Site C taxi rank, gangsters went in there and took all their money ..These people might have weapons but they rely on ambush .Umphakathi can defeat these people we were to unite'"
1.7478625893028E+018,https://x.com/SANewsLive/status/1747862589302804777,SANewsLive,More pain for retailers in South Africa – Full Story: https://t.co/TltiBF8wrW Lorch Ndithenge iMercedes MK Party Danny Jordan #MatricResults2023 Khayelitsha Tyla Uninterrupted Power Supply Panyaza iMessage Orania https://t.co/CMQL88ecc3',More pain for retailers in South Africa – Full Story: https://t.co/TltiBF8wrW Lorch Ndithenge iMercedes MK Party Danny Jordan #MatricResults2023 Khayelitsha Tyla Uninterrupted Power Supply Panyaza iMessage Orania https://t.co/CMQL88ecc3'
1.66797082951719E+018,https://x.com/sandile_gqoboka/status/1667970829517193220,sandile_gqoboka,"@Sthembiso1988 @UnplayableZA People from Site C has confirmed that these people were following them as the waited for the game to finish to shoot him. The people that shot him are not from Site C and neither from Khayelitsha, from what I heard.'","@Sthembiso1988 @UnplayableZA People from Site C has confirmed that these people were following them as the waited for the game to finish to shoot him. The people that shot him are not from Site C and neither from Khayelitsha, from what I heard.'"
1.83463303393826E+018,https://x.com/proudafrika/status/1834633033938264267,proudafrika,"@Zaddy_Bruh @SandileMakeba @kaunda_bongi See if you step out of your 30% mindset and used google you would not post this bullshit. Khayelitsha in Cape Town, South Africa is one of the world's largest slums, with 2.4 Million people living there. Mbare has a population of 800K. South Africa will always be worse. https://t.co/favER7M7Iz'","@Zaddy_Bruh @SandileMakeba @kaunda_bongi See if you step out of your 30% mindset and used google you would not post this bullshit. Khayelitsha in Cape Town, South Africa is one of the world's largest slums, with 2.4 Million people living there. Mbare has a population of 800K. South Africa will always be worse. https://t.co/favER7M7Iz'"
